Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Libya,147.92,132.17,116.39,100.54,147.78,194.99,242.14,289.36,336.54,334.19,331.85,329.69,327.31,324.78,314.88,304.94,295.04,285.26,275.47,275.08,274.62,273.59,273.03,272.08,271.31,270.7,270.15,269.61,269.01
Liechtenstein,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Lithuania,9.95,10.18,10.46,10.75,10.83,11.08,11.43,11.45,12.0,12.12,12.54,13.02,13.04,13.17,13.25,13.09,12.91,12.81,13.56,14.12,14.94,15.37,15.39,15.89,17.14,19.26,22.45,21.74,21.94
Luxembourg,1.67,1.7,1.7,1.7,1.7,1.68,1.66,1.68,1.75,1.75,1.76,1.75,1.73,1.73,1.75,1.75,1.81,1.78,1.76,1.85,1.79,1.79,1.82,1.82,1.81,1.85,1.85,1.88,1.86
Macedonia,7.97,7.97,7.88,7.79,7.69,7.61,7.6,7.75,7.61,7.5,7.68,7.51,7.51,7.42,7.58,7.45,6.98,7.06,7.24,7.0,7.32,7.38,7.48,7.48,7.37,7.58,7.5,8.12,8.27
Madagascar,55.25,52.62,56.35,55.03,54.59,53.98,57.61,56.5,57.91,57.85,56.74,58.96,57.34,59.45,52.74,53.96,50.59,53.29,55.57,57.2,57.61,55.78,56.46,55.17,54.64,55.36,54.21,53.3,53.2
Malawi,40.9,39.28,38.89,37.76,35.47,33.24,31.38,28.99,27.17,26.85,27.6,27.74,27.95,28.84,27.27,26.43,24.87,23.59,22.36,21.95,21.66,20.84,20.7,20.22,19.24,23.03,26.52,30.06,33.59
Malaysia,164.35,161.33,164.98,164.11,169.04,159.37,155.9,155.45,154.97,158.07,147.93,148.97,143.65,147.79,143.69,136.38,133.42,127.18,127.5,124.46,141.2,120.78,116.64,115.56,113.01,109.33,105.98,102.94,100.58
Maldives,0.39,0.38,0.36,0.35,0.33,0.32,0.3,0.29,0.27,0.27,0.26,0.24,0.23,0.21,0.21,0.21,0.2,0.18,0.18,0.18,0.18,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.12
Mali,71.73,69.43,67.99,62.55,60.44,59.59,57.61,56.17,55.0,51.46,51.41,49.12,47.3,47.5,45.73,42.2,40.44,39.59,43.41,44.71,42.32,35.49,33.67,32.45,31.73,31.18,30.81,30.74,30.83
Malta,0.66,0.66,0.65,0.62,0.59,0.56,0.59,0.57,0.63,0.59,0.58,0.8,0.77,0.77,0.72,0.71,0.68,0.65,0.68,0.65,0.61,0.61,0.59,0.56,0.58,0.56,0.55,0.49,0.47
Marshall Islands,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.02
Mauritania,20.89,20.99,21.54,20.53,20.36,19.79,19.43,19.0,18.92,17.84,16.61,17.73,17.72,17.02,16.76,16.95,16.62,16.43,16.23,15.63,14.82,14.29,13.66,12.95,12.84,13.01,12.52,12.74,12.25
Mauritius,5.81,5.75,5.66,5.6,5.51,5.42,5.29,5.2,5.1,5.02,4.93,4.86,4.78,4.54,4.56,4.54,4.39,4.6,4.24,3.96,3.67,3.4,3.12,2.85,2.8,2.77,2.74,2.71,2.68
Mexico,474.42,471.7,466.35,462.55,434.47,410.41,405.52,431.75,430.0,448.4,455.37,397.6,373.77,360.76,352.51,359.88,348.43,345.71,358.11,350.44,373.58,353.55,336.68,318.07,314.09,312.11,287.75,289.66,287.45
Micronesia,0.17,0.17,0.17,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.02,0.0,0.0,0.0,0.0
Moldova,10.81,10.98,10.98,11.05,11.01,10.78,10.73,10.73,10.54,10.48,10.82,11.32,11.14,11.56,11.8,11.97,11.78,11.58,12.36,12.83,12.85,13.99,15.82,15.62,15.89,15.16,16.41,18.11,18.27
Mongolia,55.31,55.66,52.84,49.92,44.84,39.22,36.38,32.36,28.13,34.22,33.22,32.51,28.46,25.59,23.34,24.4,24.38,29.84,35.54,34.61,34.04,34.07,30.79,28.9,26.95,27.35,27.75,28.34,27.52
Montenegro,2.71,2.78,2.75,2.78,2.78,2.76,2.79,2.78,2.89,2.72,2.51,2.33,2.15,2.01,2.13,2.15,2.16,2.19,2.24,2.45,2.55,2.58,2.6,2.59,2.49,2.54,2.55,2.87,2.93
Morocco,59.31,58.39,57.72,56.98,55.78,54.22,52.6,51.43,49.23,47.53,46.39,45.0,44.1,42.59,41.97,40.94,39.98,39.54,39.02,37.88,36.79,36.69,35.39,34.24,34.33,33.56,35.95,36.43,36.97
Mozambique,75.85,71.72,72.72,71.65,73.38,72.89,70.11,64.18,70.98,61.76,68.19,63.01,60.28,61.95,55.41,56.37,51.87,50.34,32.55,36.43,38.2,34.14,37.53,49.99,49.68,49.93,50.06,50.23,50.43
Myanmar,208.84,212.72,212.7,215.24,209.14,203.96,203.11,198.78,213.88,209.15,198.88,206.17,195.35,185.17,186.76,171.93,161.59,161.28,164.27,169.23,157.95,149.76,154.23,153.61,148.93,145.31,139.61,133.07,134.68
Namibia,13.88,15.23,15.25,14.17,14.49,15.59,25.94,23.74,16.89,17.94,13.88,16.33,17.36,15.92,14.7,14.18,13.32,14.87,15.61,14.19,13.96,12.89,13.07,13.47,13.49,13.55,14.01,14.27,13.89
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,103.37,102.4,101.4,98.27,97.38,94.81,92.72,89.0,86.09,84.85,82.62,79.89,79.12,77.9,76.53,75.14,73.09,72.1,71.45,69.19,66.44,63.72,61.44,58.9,55.99,54.72,52.5,52.97,52.54
Netherlands,53.94,56.07,58.69,59.31,58.4,59.21,59.32,60.7,62.69,62.56,63.41,61.62,60.73,62.42,66.12,67.63,70.02,73.34,75.29,78.68,82.15,85.08,90.11,91.97,93.73,95.89,97.58,99.03,97.94
New Zealand,98.55,98.82,99.34,99.37,101.95,101.05,101.63,100.68,101.34,101.16,99.94,101.39,102.62,101.72,101.85,102.16,102.04,99.87,98.99,100.66,99.39,101.13,101.01,101.61,99.3,96.48,96.76,97.64,99.57
Nicaragua,30.44,29.43,30.02,29.99,29.11,27.99,26.8,26.04,24.29,23.77,23.54,23.33,23.3,23.18,22.08,22.79,21.6,21.19,21.31,20.5,18.66,18.06,16.58,16.81,18.69,18.53,16.84,15.48,18.43
Niger,94.29,90.74,87.51,84.18,79.53,74.64,69.63,65.02,60.65,60.95,58.32,55.89,53.43,51.38,49.57,47.66,45.84,44.18,42.67,40.79,39.35,37.69,36.23,34.68,33.32,31.99,30.52,29.32,28.09
Nigeria,454.45,451.01,450.91,439.55,431.12,421.59,412.55,399.47,383.28,373.47,375.14,373.33,372.18,368.91,352.6,339.4,325.86,314.0,319.59,334.54,353.38,364.7,380.96,382.52,402.55,397.27,394.56,392.71,387.41
Niue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Korea,70.19,69.84,69.31,69.01,69.27,68.51,68.08,67.41,66.47,64.37,61.77,59.56,57.27,55.0,56.68,57.86,59.33,58.44,57.12,63.08,68.4,74.24,79.35,85.94,91.94,97.99,104.15,110.25,116.81
Norway,15.87,16.12,16.33,16.62,16.95,16.66,16.72,16.97,17.38,17.23,17.3,17.93,17.53,17.95,18.82,18.81,18.52,19.09,18.87,18.47,19.11,19.79,19.6,19.45,19.59,19.38,19.03,18.63,18.46
Oman,19.75,19.55,19.35,19.16,18.62,18.1,16.99,16.47,15.93,15.41,14.94,14.47,13.99,13.52,13.59,13.77,13.9,14.07,14.2,13.84,13.37,12.96,12.54,12.15,11.67,11.17,10.67,10.16,9.66
Pakistan,468.87,458.44,445.68,435.28,425.71,413.71,398.53,390.97,372.54,373.87,364.68,350.08,341.29,320.38,311.34,303.23,293.02,284.51,280.24,275.6,267.65,260.28,253.47,242.13,236.93,232.89,226.02,222.87,218.65
Palau,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01
Panama,16.69,16.3,16.24,15.96,16.03,16.19,15.94,15.7,15.08,14.78,14.41,13.77,13.68,13.37,12.92,12.88,12.65,12.38,11.36,11.83,12.34,12.65,13.44,13.94,14.23,13.94,13.71,13.41,13.19
Papua New Guinea,39.74,39.34,39.23,40.45,35.84,32.18,28.69,25.14,21.69,21.69,21.69,21.72,22.13,21.92,23.55,23.78,24.75,25.06,26.17,27.3,28.24,50.22,29.75,31.22,27.21,23.22,19.2,15.22,11.32
Paraguay,88.49,92.0,89.48,90.04,90.78,86.8,84.99,81.38,79.75,76.2,71.33,73.89,68.91,68.4,65.7,69.46,65.67,66.83,64.44,70.27,65.49,65.08,63.54,63.03,59.34,56.47,52.88,51.33,53.87
Peru,97.36,96.44,95.97,95.06,93.97,93.4,92.81,91.52,90.94,90.0,88.46,87.11,85.68,85.91,82.22,82.32,81.12,79.32,78.58,76.11,70.66,66.89,64.06,60.89,56.77,53.37,53.05,53.1,53.66
Philippines,207.91,207.11,199.8,200.94,201.93,201.38,199.3,195.41,191.85,196.69,194.66,190.5,187.32,185.54,185.83,180.96,179.97,178.31,176.03,173.32,151.1,165.84,165.81,158.64,153.37,142.81,138.9,143.75,140.36
Poland,166.13,165.11,163.69,165.36,163.39,165.32,164.62,166.09,170.62,170.09,174.96,175.71,178.78,178.21,176.51,177.72,176.35,182.41,174.79,178.73,182.01,190.15,191.14,193.51,197.57,199.79,205.29,210.13,226.59
Portugal,34.36,35.42,34.66,34.74,34.63,34.7,35.31,36.03,35.12,35.33,35.89,37.24,37.69,38.33,39.41,39.15,38.21,37.49,38.24,38.27,38.07,37.3,36.85,36.32,35.73,34.53,34.65,34.38,34.13
Qatar,30.94,30.77,30.1,29.39,27.52,26.09,24.44,22.85,21.23,19.49,17.71,15.99,13.7,11.94,11.33,10.61,9.88,9.18,8.58,8.25,7.91,7.59,7.25,6.91,6.6,6.26,5.88,5.54,5.2
Republic of Congo,12.43,11.96,12.16,11.72,10.82,11.44,11.04,11.28,10.93,9.69,9.41,8.94,8.89,8.23,7.4,7.09,5.44,4.59,4.62,4.89,4.69,4.63,4.48,5.75,5.64,5.76,5.84,5.94,6.04
Romania,81.78,83.04,84.22,86.82,88.02,88.51,89.47,89.37,94.54,97.01,102.15,102.65,108.8,111.89,114.59,119.13,120.23,125.12,116.83,113.17,116.51,125.79,132.15,131.99,133.66,132.15,142.19,158.42,183.81
Russia,3239.12,3239.78,3251.73,3181.37,3165.0,3147.34,3148.04,3111.66,3059.47,2952.8,3033.03,3020.85,2983.49,2919.79,2871.18,2730.89,2528.92,2420.25,2330.36,2255.11,2249.88,2285.83,2337.2,2380.83,2476.74,2699.25,2918.51,3235.87,3499.17
Rwanda,9.78,9.54,9.49,9.8,8.95,8.86,8.7,8.68,8.95,8.56,8.43,8.08,7.82,7.36,8.0,8.58,8.93,8.73,8.4,8.4,8.1,7.78,7.61,7.37,7.79,7.97,8.14,8.28,8.27
Saint Kitts and Nevis,0.25,0.23,0.23,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
Saint Lucia,0.81,0.8,0.8,0.8,0.78,0.77,0.77,0.75,0.75,0.74,0.72,0.72,0.71,0.69,0.69,0.69,0.68,0.66,0.66,0.92,1.17,1.43,1.68,1.94,2.19,2.16,2.12,2.09,2.04
Saint Vincent and the Grenadines,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Samoa,0.92,0.91,0.91,0.94,0.91,0.88,0.86,0.86,0.85,0.82,0.8,0.8,0.83,0.82,0.82,0.8,0.79,0.79,0.76,0.76,0.76,0.75,0.74,0.75,0.76,0.66,0.65,0.66,0.64
Sao Tome and Principe,0.11,0.11,0.11,0.11,0.11,0.09,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.11,0.11,0.11,0.11,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Saudi Arabia,146.85,144.35,141.85,139.35,135.72,132.54,128.43,143.53,158.15,152.23,147.78,143.45,138.25,133.47,128.24,122.66,117.55,112.44,107.25,102.41,98.23,93.87,89.26,84.59,79.94,75.12,70.35,65.51,60.71
Senegal,32.94,33.01,32.6,31.32,30.98,31.11,30.08,30.51,29.91,28.86,28.69,27.51,28.15,27.26,26.39,24.56,25.24,26.21,30.11,30.35,27.53,26.35,25.95,24.25,23.9,23.35,22.76,22.23,21.67
Serbia,40.85,40.99,40.93,41.25,40.84,40.05,39.73,39.41,39.09,38.31,37.72,37.01,35.76,35.02,36.84,37.44,38.12,38.94,40.26,42.99,44.88,45.09,45.23,45.18,44.1,44.55,44.54,47.93,48.54
Seychelles,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.18,0.18,0.18,0.18,0.17,0.17,0.17
Sierra Leone,14.32,14.76,14.92,14.64,14.32,13.56,13.93,12.13,11.3,11.51,10.89,11.81,13.4,11.22,10.8,9.88,8.52,7.74,6.87,6.99,7.44,7.34,7.2,8.27,8.56,8.7,8.48,8.48,8.56
Singapore,13.48,13.15,12.8,12.48,12.01,11.53,11.06,10.59,10.1,9.54,8.99,8.44,7.89,7.33,6.93,6.52,6.12,5.71,5.3,5.18,5.06,4.94,4.79,4.67,4.46,4.26,4.05,3.84,3.83
Slovakia,14.99,14.98,15.03,14.79,14.31,15.21,14.6,16.46,16.01,15.61,16.55,16.21,16.7,17.51,17.84,17.69,17.94,18.34,18.8,19.91,20.56,20.86,21.52,21.26,21.7,23.01,24.7,25.98,26.47
Slovenia,6.38,6.43,6.46,6.28,6.16,6.63,6.85,7.05,7.12,7.14,7.47,7.56,7.67,7.79,7.93,8.1,7.97,7.89,7.77,7.7,8.04,8.11,8.13,8.1,8.02,8.17,8.2,8.94,9.16
Solomon Islands,1.25,1.24,1.21,1.18,1.16,1.15,1.11,1.09,1.06,1.05,1.03,1.0,0.99,0.97,0.94,0.91,0.89,0.88,0.85,0.85,0.82,0.8,0.79,0.76,0.76,0.73,0.73,0.7,0.67
Somalia,59.47,59.37,59.63,59.62,59.4,58.95,58.68,57.97,57.49,57.03,56.84,56.64,58.6,60.95,59.99,59.27,58.71,57.87,56.68,56.06,55.35,55.05,53.95,52.71,51.34,47.66,43.8,47.59,53.21
South Africa,141.29,140.46,138.71,138.86,139.1,138.05,137.99,136.06,135.47,132.9,130.94,128.57,124.68,125.17,119.88,118.27,116.99,107.3,113.1,121.5,129.56,133.17,138.67,141.69,147.73,147.19,147.1,145.94,143.57
South Korea,83.81,83.98,84.44,84.98,85.69,87.62,87.97,86.91,86.93,84.52,84.64,84.6,85.13,84.89,84.37,86.56,86.17,85.63,84.03,83.84,84.02,89.39,88.39,86.74,87.99,89.23,91.74,95.14,97.17
South Sudan,108.6,104.45,107.91,105.7,119.01,131.53,146.2,154.32,167.64,165.15,159.23,154.29,145.4,143.67,134.62,127.08,118.28,109.06,124.29,123.39,111.46,93.22,74.25,59.76,58.42,55.35,51.72,47.53,46.11
Spain,122.77,121.83,120.78,120.68,116.12,117.65,119.45,121.0,121.85,126.27,121.56,126.16,123.88,125.37,125.91,126.57,125.97,124.74,122.7,120.41,118.55,117.4,112.06,109.45,108.28,107.15,108.53,106.76,106.54
Sri Lanka,32.63,29.83,32.14,31.33,29.97,32.51,31.46,31.02,30.37,28.93,29.42,27.29,27.71,27.52,25.42,26.35,25.11,24.36,24.57,31.46,36.89,45.56,52.03,60.42,59.77,59.39,57.93,56.41,56.84
Sudan,184.77,183.35,182.16,180.81,177.78,176.58,174.79,164.1,163.51,166.45,162.81,161.5,154.36,156.87,150.62,146.33,140.9,133.4,139.02,132.91,129.64,124.03,120.63,117.29,114.57,108.74,101.87,94.07,91.21
Suriname,4.93,4.98,5.01,4.96,4.99,4.84,4.78,4.8,4.68,4.51,4.0,3.71,3.56,3.31,3.47,3.51,3.25,3.62,3.5,3.57,3.53,3.4,3.46,3.35,3.19,3.03,3.14,2.83,2.53
Sweden,14.2,14.6,14.77,14.97,15.6,16.02,16.36,16.87,17.37,17.73,18.2,19.1,19.95,20.48,21.16,21.13,21.76,22.46,22.85,23.52,24.28,24.88,25.16,25.21,25.66,26.03,26.23,25.88,25.93
Switzerland,14.66,14.77,14.88,14.98,15.17,15.32,15.5,15.67,15.91,15.93,16.24,16.12,16.3,16.32,16.3,16.53,16.92,17.09,16.97,17.2,17.62,17.87,18.52,18.64,18.83,19.0,19.42,19.7,19.99
Syria,41.01,41.29,41.69,41.88,56.34,70.86,85.31,99.67,112.6,114.08,114.93,116.9,116.54,116.08,117.98,119.68,121.71,124.15,128.03,128.77,129.76,129.41,129.55,129.62,121.84,114.09,108.74,101.7,94.25
Tajikistan,16.74,16.65,16.37,15.89,15.22,14.9,14.33,13.59,13.08,13.03,12.42,11.16,10.91,10.54,9.92,9.72,9.19,9.14,8.88,8.77,9.06,9.65,9.75,10.65,11.51,13.29,14.13,15.73,15.99
Tanzania,217.81,215.94,218.48,215.72,199.34,188.08,176.22,164.74,153.4,145.75,141.23,133.11,127.55,131.67,122.26,122.72,109.64,99.41,92.16,96.56,95.86,87.96,88.3,95.86,89.52,89.37,88.53,88.86,88.68
Thailand,274.51,276.76,253.71,265.5,276.78,287.42,292.43,290.81,292.68,281.25,271.98,270.88,256.73,253.95,249.01,243.29,232.32,233.06,229.01,224.48,216.51,214.16,202.0,196.13,191.8,190.25,189.55,185.69,178.39
Timor-Leste,20.38,21.34,22.39,23.25,23.63,24.12,24.79,25.16,25.67,24.43,23.25,21.89,20.68,19.33,15.56,12.41,8.94,5.44,1.48,1.31,1.56,1.51,1.53,1.46,1.41,1.25,1.19,1.18,0.99
Togo,11.52,11.38,11.27,11.52,10.89,11.08,10.7,10.94,10.23,10.35,10.17,9.86,10.27,10.89,9.36,9.48,9.11,8.53,8.68,8.56,8.53,7.46,6.77,6.62,6.55,6.43,6.35,6.62,6.89
Tonga,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.29,0.27,0.27,0.29,0.29,0.29,0.29,0.29,0.27,0.27,0.27,0.27,0.27,0.29,0.3,0.32,0.33,0.37,0.39,0.39,0.37,0.37
Trinidad and Tobago,3.91,3.88,3.85,3.83,3.77,3.71,3.65,3.59,3.54,3.41,3.28,3.19,3.07,2.95,2.87,2.79,2.72,2.63,2.57,2.53,2.49,2.47,2.47,2.41,2.41,2.39,2.38,2.38,2.37
Tunisia,20.85,20.61,20.44,20.47,20.77,20.91,21.11,21.57,21.88,21.95,21.78,22.05,21.91,21.69,21.29,21.06,21.16,21.03,20.84,19.63,18.52,17.38,16.69,15.22,14.33,14.6,14.12,14.14,13.69
Turkey,152.5,145.2,143.73,134.52,155.63,149.28,152.63,147.8,143.7,143.78,144.27,137.64,128.34,123.74,119.06,118.87,119.86,122.12,125.28,122.96,119.49,120.73,117.9,118.18,118.09,120.22,120.79,118.71,122.34
Turkmenistan,190.57,191.67,192.39,193.12,178.09,163.02,147.84,131.24,116.53,121.97,128.54,132.44,139.2,144.13,149.17,141.77,133.34,125.12,118.1,111.89,106.07,100.85,97.66,92.79,87.79,96.18,103.66,116.27,125.38
Tuvalu,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Uganda,114.11,112.52,110.29,106.78,102.46,98.77,96.24,91.34,89.04,83.67,80.7,66.2,59.88,59.32,56.15,55.46,52.11,50.35,50.16,49.0,47.71,44.35,40.93,38.56,36.42,36.66,35.74,35.02,33.95
Ukraine,226.97,229.46,231.33,234.42,255.26,274.44,290.86,311.82,294.24,295.46,327.61,345.81,349.76,363.27,390.0,433.04,411.17,418.03,434.36,470.99,464.18,483.99,503.52,519.79,560.8,595.81,629.96,668.38,690.38
United Arab Emirates,190.44,186.8,183.09,179.43,171.68,163.77,155.83,148.15,140.49,138.74,136.05,133.7,131.37,129.06,121.21,113.64,105.99,98.33,90.68,83.75,76.78,69.83,62.9,55.95,49.04,47.78,46.63,45.49,44.34
United Kingdom,160.47,161.77,163.06,164.33,169.73,178.92,194.13,199.07,207.57,222.33,235.12,250.41,262.01,274.96,290.22,304.46,322.26,328.98,340.58,355.2,374.15,387.45,395.74,401.07,394.84,423.32,429.73,431.22,427.37
United States,2163.73,2136.04,2115.35,2150.22,2163.33,2153.76,2145.58,2184.35,2258.56,2257.8,2292.37,2238.42,2265.68,2260.56,2269.56,2286.26,2289.35,2336.5,2359.58,2392.31,2442.9,2508.99,2564.06,2586.9,2633.49,2610.06,2677.22,2684.59,2675.17
Uruguay,63.05,64.34,65.32,64.98,64.98,63.98,63.59,65.27,64.48,67.63,68.82,67.33,68.75,66.51,66.0,64.25,62.68,60.46,60.45,61.64,61.18,62.61,63.51,62.74,63.04,62.46,60.4,57.49,54.96
Uzbekistan,394.85,396.74,398.42,395.12,394.87,394.38,394.77,390.2,387.42,402.24,472.16,460.85,457.26,397.18,385.9,388.94,381.75,377.76,364.16,311.54,288.29,305.31,342.93,334.48,326.49,388.8,260.96,270.97,263.17
Vanuatu,1.54,1.51,1.49,1.5,1.48,1.45,1.43,1.42,1.39,1.34,1.39,1.39,1.22,1.2,1.18,1.15,1.1,1.1,1.15,1.18,1.14,1.14,1.13,1.12,1.11,1.11,1.04,0.99,0.96
Venezuela,251.65,253.16,258.27,265.47,264.73,262.8,259.95,245.7,244.2,258.22,259.44,260.06,259.79,261.21,264.84,270.97,273.82,280.16,286.21,278.73,275.31,265.89,259.4,254.52,246.31,236.46,230.07,221.93,212.26
Vietnam,283.37,286.72,289.69,291.88,289.11,288.28,283.91,281.43,279.76,272.88,265.81,259.64,251.98,242.78,234.6,225.08,217.73,207.99,205.41,198.86,189.67,178.0,170.78,161.29,152.42,149.4,145.43,140.43,135.31
World,672.84,635.48,643.56,755.14,720.64,619.91,606.44,576.31,544.15,604.52,507.94,516.56,630.82,540.72,611.51,519.38,573.51,440.74,494.47,571.56,645.18,776.8,513.22,525.46,529.17,533.26,532.25,538.74,533.22
Yemen,26.52,25.39,25.21,25.36,25.68,25.61,25.54,25.56,25.37,24.92,24.36,23.67,22.93,22.38,21.96,21.53,20.1,19.69,18.94,17.45,16.02,14.4,12.85,11.36,11.08,11.01,10.72,10.42,10.68
Zambia,76.34,76.52,77.87,79.3,73.64,72.6,70.42,64.49,66.01,59.29,63.13,61.06,58.31,63.57,60.21,59.57,53.03,49.05,45.35,51.06,53.05,51.16,51.21,56.89,57.48,58.25,58.95,59.11,59.09
Zimbabwe,38.29,37.28,36.81,38.05,34.83,37.37,37.29,37.3,35.71,34.21,33.1,32.72,31.92,32.96,33.38,33.06,33.99,36.62,36.41,37.25,36.34,34.55,34.24,30.16,29.32,27.29,31.86,30.04,32.74
